epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4530.19,1.6065,1.70986,1.44646,0.74121,0.58572,0.64861,0.342,1.87084,1.7558,1.75106,0.000140723,0.000140723,0.000140723
43,4637.73,1.64932,1.68053,1.44996,0.88005,0.51801,0.66144,0.35733,1.86912,1.73875,1.71326,0.000133545,0.000133545,0.000133545
44,4744.6,1.58885,1.65223,1.43097,0.82476,0.53209,0.6498,0.35708,1.81359,1.73345,1.66453,0.000126367,0.000126367,0.000126367
45,4851.55,1.61439,1.61809,1.43032,0.76859,0.5323,0.6532,0.35152,1.80962,1.69756,1.64318,0.00011919,0.00011919,0.00011919
46,4958.59,1.61612,1.65707,1.42778,0.89327,0.49965,0.66473,0.36072,1.76336,1.70364,1.63572,0.000112013,0.000112013,0.000112013
47,5065.6,1.59149,1.59218,1.4024,0.81659,0.53828,0.65298,0.35452,1.82819,1.67184,1.68205,0.000104835,0.000104835,0.000104835
48,5172.68,1.60813,1.59525,1.41509,0.84783,0.52385,0.65413,0.36386,1.83049,1.66612,1.68587,9.76575e-05,9.76575e-05,9.76575e-05
49,5279.58,1.55296,1.54944,1.36893,0.82638,0.53067,0.6569,0.34739,1.85443,1.69495,1.69821,9.048e-05,9.048e-05,9.048e-05
50,5386.18,1.59566,1.57953,1.39893,0.92074,0.50633,0.66508,0.36834,1.82012,1.68976,1.69586,8.33025e-05,8.33025e-05,8.33025e-05
51,5495.96,1.46955,1.68849,1.37285,0.88105,0.53106,0.6512,0.36074,1.81357,1.72312,1.69175,7.6125e-05,7.6125e-05,7.6125e-05
52,5601.5,1.45031,1.63798,1.33302,0.80783,0.52635,0.65026,0.35302,1.81554,1.7053,1.68471,6.89475e-05,6.89475e-05,6.89475e-05
53,5706.99,1.42615,1.60605,1.33769,0.81975,0.50647,0.65376,0.35542,1.77854,1.68207,1.656,6.177e-05,6.177e-05,6.177e-05
54,5812.66,1.40386,1.5689,1.30479,0.90864,0.50398,0.65435,0.35954,1.75843,1.68076,1.65836,5.45925e-05,5.45925e-05,5.45925e-05
55,5918.19,1.4135,1.52264,1.30995,0.88461,0.50535,0.65154,0.35545,1.76681,1.6662,1.65068,4.7415e-05,4.7415e-05,4.7415e-05
56,6023.69,1.40433,1.5065,1.31918,0.87492,0.52878,0.65834,0.35608,1.81288,1.64745,1.67137,4.02375e-05,4.02375e-05,4.02375e-05
57,6129.46,1.36371,1.49115,1.29913,0.85298,0.52017,0.66045,0.35837,1.78485,1.63125,1.65864,3.306e-05,3.306e-05,3.306e-05
58,6234.94,1.34764,1.46864,1.28356,0.84821,0.53204,0.66873,0.36862,1.77581,1.61486,1.65305,2.58825e-05,2.58825e-05,2.58825e-05
59,6340.44,1.3751,1.46562,1.30126,0.84011,0.53357,0.66928,0.37388,1.7714,1.61528,1.65214,1.8705e-05,1.8705e-05,1.8705e-05
60,6446.18,1.37395,1.46542,1.29031,0.84999,0.53619,0.66686,0.37313,1.77672,1.61528,1.65914,1.15275e-05,1.15275e-05,1.15275e-05
